char01,char02,char03,char04,char05,char06,char07,char08,prediction
p,u,f,f,b,a,l,l,valid
i,u,d,y,*,*,*,*,invalid
x,w,s,e,*,*,*,*,invalid
i,n,t,r,i,g,u,e,valid
d,i,l,u,t,i,o,n,valid
x,g,l,i,*,*,*,*,invalid
b,e,s,o,m,*,*,*,valid
k,x,v,*,*,*,*,*,invalid
e,g,j,*,*,*,*,*,invalid
x,k,u,*,*,*,*,*,invalid
r,s,a,k,*,*,*,*,invalid
e,r,f,r,l,d,*,*,invalid
o,c,t,a,v,e,*,*,valid
f,w,j,l,i,*,*,*,invalid
j,a,w,i,n,g,*,*,valid
l,e,n,s,*,*,*,*,valid
n,l,x,w,r,*,*,*,invalid
d,w,b,e,b,*,*,*,invalid
t,o,o,t,e,*,*,*,invalid
k,w,s,c,*,*,*,*,invalid
r,r,a,n,i,i,q,*,invalid
t,e,e,t,o,t,a,l,valid
b,i,n,d,i,n,g,s,valid
o,g,i,n,f,h,*,*,invalid
w,a,u,o,x,n,*,*,invalid
b,x,d,j,*,*,*,*,invalid
b,d,k,x,o,k,*,*,invalid
k,u,t,p,u,y,*,*,invalid
i,t,y,a,b,j,*,*,invalid
a,l,b,u,m,e,n,*,valid
c,a,d,g,e,d,*,*,valid
p,k,c,v,v,g,*,*,invalid
o,p,e,r,a,t,e,*,valid
d,e,i,g,n,*,*,*,valid
s,e,e,k,e,r,s,*,valid
a,r,b,y,d,*,*,*,invalid
h,a,r,d,i,e,r,*,valid
e,t,p,w,m,j,*,*,invalid
s,t,i,c,k,e,r,*,valid
h,a,u,g,h,t,y,*,valid
p,l,k,w,y,w,*,*,invalid
v,v,w,c,*,*,*,*,invalid
m,f,b,u,*,*,*,*,invalid
u,r,w,f,m,y,t,*,invalid
o,n,d,u,f,d,q,*,invalid
n,o,w,i,*,*,*,*,invalid
i,r,t,f,s,j,q,*,invalid
w,m,w,g,c,d,i,*,invalid
x,r,x,x,f,*,*,*,invalid
s,o,w,i,n,g,*,*,valid
d,e,m,i,g,o,d,s,valid
r,b,v,*,*,*,*,*,invalid
m,h,m,f,x,*,*,*,invalid
v,o,t,b,c,*,*,*,invalid
u,n,v,*,*,*,*,*,invalid
j,n,y,i,j,*,*,*,invalid
p,w,w,i,y,n,d,*,invalid
b,w,f,c,k,m,s,*,invalid
f,i,n,k,*,*,*,*,valid
v,d,v,u,*,*,*,*,invalid
o,l,d,e,r,*,*,*,valid
y,y,r,h,r,b,*,*,invalid
d,j,o,a,k,d,o,*,invalid
v,w,u,g,g,j,c,*,invalid
s,e,s,u,l,*,*,*,invalid
h,u,b,*,*,*,*,*,invalid
s,c,v,x,*,*,*,*,invalid
g,a,l,o,s,h,*,*,valid
n,g,e,p,r,x,s,*,invalid
m,q,d,p,*,*,*,*,invalid
i,n,h,e,r,i,n,g,valid
r,h,e,t,o,r,i,c,valid
p,i,q,u,e,*,*,*,valid
b,x,j,m,o,*,*,*,invalid
h,x,t,s,w,t,n,*,invalid
y,w,m,s,a,*,*,*,invalid
m,o,n,o,x,i,d,e,valid
c,b,i,n,j,l,k,*,invalid
f,x,d,v,t,*,*,*,invalid
f,k,n,*,*,*,*,*,invalid
v,i,j,b,r,b,*,*,invalid
t,h,i,n,g,s,*,*,valid
o,x,n,h,p,*,*,*,invalid
g,r,a,z,e,d,*,*,valid
p,w,n,s,*,*,*,*,valid
b,h,o,*,*,*,*,*,invalid
r,x,f,h,y,n,a,*,invalid
j,q,h,c,w,*,*,*,invalid
n,o,n,e,*,*,*,*,valid
v,m,s,p,h,*,*,*,invalid
o,d,o,r,o,u,s,*,valid
p,a,d,s,*,*,*,*,valid
p,i,c,k,l,e,d,*,valid
o,o,b,d,l,p,*,*,invalid
v,i,f,*,*,*,*,*,invalid
y,d,y,o,q,k,w,*,invalid
p,o,e,m,s,*,*,*,valid
a,v,e,n,g,e,d,*,valid
t,i,o,r,*,*,*,*,invalid
e,n,a,m,e,l,e,d,valid
t,n,m,v,*,*,*,*,invalid
c,s,a,w,y,q,m,*,invalid
c,f,o,b,*,*,*,*,invalid
u,n,q,d,g,*,*,*,invalid
d,e,c,r,e,a,s,e,valid
v,g,k,f,n,p,*,*,invalid
v,v,o,*,*,*,*,*,invalid
h,w,j,m,t,v,*,*,invalid
f,n,t,v,k,w,*,*,invalid
p,r,o,w,l,e,r,s,valid
e,y,q,q,t,m,*,*,invalid
g,r,i,m,a,c,e,s,valid
a,h,m,c,*,*,*,*,invalid
h,y,a,j,f,r,i,*,invalid
h,a,s,h,s,w,*,*,invalid
v,p,u,q,*,*,*,*,invalid
s,t,r,a,n,g,e,r,valid
v,c,d,b,*,*,*,*,invalid
x,e,n,i,a,b,b,*,invalid
v,c,h,*,*,*,*,*,invalid
a,r,b,y,d,*,*,*,invalid
k,c,w,e,d,h,d,*,invalid
j,k,x,b,*,*,*,*,invalid
t,l,w,*,*,*,*,*,invalid
j,e,r,k,i,l,y,*,valid
b,x,f,l,*,*,*,*,invalid
r,u,m,i,n,a,t,e,valid
s,a,p,s,*,*,*,*,valid
c,o,m,b,i,n,e,d,valid
n,r,o,q,*,*,*,*,invalid
o,l,l,s,j,r,b,*,invalid
r,e,s,u,p,p,l,y,valid
d,e,c,i,b,e,l,s,valid
a,x,x,*,*,*,*,*,invalid
h,d,d,i,*,*,*,*,invalid
e,s,t,o,p,*,*,*,invalid
b,f,h,a,x,l,d,*,invalid
r,a,r,i,t,y,*,*,valid
o,o,m,j,d,p,r,*,invalid
f,h,w,i,*,*,*,*,invalid
i,m,m,u,r,e,*,*,valid
j,k,u,*,*,*,*,*,invalid
b,b,h,*,*,*,*,*,invalid
w,a,s,t,i,n,g,*,valid
c,h,i,n,o,s,*,*,valid
k,t,b,t,u,d,x,*,invalid
c,o,n,t,a,i,n,*,valid
b,i,l,*,*,*,*,*,invalid
c,b,m,a,*,*,*,*,invalid
a,c,t,s,*,*,*,*,valid
c,e,u,a,*,*,*,*,invalid
p,a,p,*,*,*,*,*,valid
x,o,q,*,*,*,*,*,invalid
r,i,i,*,*,*,*,*,invalid
k,d,j,*,*,*,*,*,invalid
p,a,l,e,*,*,*,*,valid
w,b,g,n,y,*,*,*,invalid
p,d,a,q,d,g,m,*,invalid
s,h,a,c,k,l,e,s,valid
s,g,a,h,*,*,*,*,invalid
t,w,q,a,a,*,*,*,invalid
a,l,i,m,o,n,y,*,valid
q,x,h,l,p,u,*,*,invalid
k,v,v,s,*,*,*,*,invalid
t,g,w,n,f,*,*,*,invalid
b,e,l,f,y,t,g,*,invalid
s,t,i,c,k,i,e,s,valid
w,p,k,*,*,*,*,*,invalid
e,y,e,t,o,o,t,h,valid
p,h,q,n,d,x,*,*,invalid
b,i,d,d,y,*,*,*,valid
v,i,j,h,x,f,f,*,invalid
h,p,g,*,*,*,*,*,invalid
n,x,h,d,p,u,*,*,invalid
w,h,y,*,*,*,*,*,valid
s,t,g,*,*,*,*,*,invalid
v,i,j,s,a,b,u,*,invalid
u,n,m,a,n,s,*,*,valid
u,d,h,*,*,*,*,*,invalid
f,i,n,d,*,*,*,*,valid
x,p,v,*,*,*,*,*,invalid
v,s,l,x,*,*,*,*,invalid
g,g,l,p,i,l,*,*,invalid
e,n,r,a,g,i,n,g,valid
b,s,y,w,*,*,*,*,invalid
p,l,x,k,*,*,*,*,invalid
m,a,r,t,y,r,e,d,valid
u,m,c,r,*,*,*,*,invalid
p,r,b,f,v,m,*,*,invalid
p,u,p,p,e,t,*,*,valid
r,k,o,j,d,h,*,*,invalid
i,n,s,p,i,r,e,d,valid
a,c,e,d,*,*,*,*,valid
o,p,p,k,*,*,*,*,invalid
a,s,o,b,u,*,*,*,valid
a,p,p,o,s,i,t,e,valid
e,v,s,k,p,d,b,*,invalid
e,p,q,e,o,q,*,*,invalid
p,l,n,k,n,*,*,*,invalid
g,n,h,o,b,s,v,*,invalid
a,j,t,f,*,*,*,*,invalid
g,u,f,y,*,*,*,*,invalid
u,o,c,h,d,i,x,*,invalid
d,g,e,k,h,c,s,*,invalid
h,j,a,g,*,*,*,*,invalid
j,a,c,k,p,o,t,*,valid
s,l,i,p,p,e,r,y,valid
l,a,w,s,u,i,t,s,valid
s,p,l,i,n,t,*,*,valid
y,m,h,f,a,n,*,*,invalid
c,r,i,b,b,i,n,g,valid
v,a,c,j,l,*,*,*,invalid
r,u,m,m,y,*,*,*,valid
v,i,a,l,*,*,*,*,valid
a,q,y,m,c,w,h,*,invalid
c,d,w,r,t,b,*,*,invalid
i,y,c,m,v,v,c,*,invalid
l,f,o,c,v,*,*,*,invalid
a,h,e,*,*,*,*,*,invalid
m,o,w,*,*,*,*,*,invalid
x,t,l,r,u,v,d,*,invalid
s,j,f,q,s,v,*,*,invalid
x,t,k,m,a,d,*,*,invalid
v,i,a,n,d,*,*,*,valid
c,r,e,d,i,t,o,r,valid
w,o,r,k,m,e,n,*,valid
l,e,i,s,u,r,e,*,valid
g,u,n,w,a,l,e,*,valid
m,a,p,p,i,n,g,*,valid
c,x,x,b,e,*,*,*,invalid
u,q,c,*,*,*,*,*,invalid
x,e,h,c,x,*,*,*,invalid
u,i,u,b,b,s,m,*,invalid
i,l,w,c,*,*,*,*,invalid
c,o,m,m,u,n,e,s,valid
f,y,y,i,a,p,a,*,invalid
r,a,i,l,w,a,y,s,valid
s,c,a,v,y,y,*,*,invalid
b,e,c,k,s,*,*,*,valid
r,a,n,g,e,s,*,*,valid
h,p,p,o,*,*,*,*,invalid
s,n,i,t,c,h,*,*,valid
s,p,l,o,t,c,h,y,valid
m,u,d,d,i,e,s,t,valid
x,c,y,*,*,*,*,*,invalid
w,a,x,w,i,n,g,*,valid
t,m,p,*,*,*,*,*,invalid
e,d,k,p,v,*,*,*,invalid
d,o,w,e,l,l,e,d,valid
c,a,c,t,i,*,*,*,valid
j,w,g,m,o,i,*,*,invalid
m,a,s,c,a,r,a,*,valid
t,n,i,b,d,*,*,*,invalid
y,a,j,*,*,*,*,*,invalid
r,j,x,*,*,*,*,*,invalid
d,e,f,e,a,t,s,*,valid
f,s,r,i,g,n,*,*,invalid
l,b,u,k,v,b,*,*,invalid
a,o,b,u,*,*,*,*,invalid
t,b,a,r,c,w,h,*,invalid
j,g,p,*,*,*,*,*,invalid
w,i,i,b,h,n,*,*,invalid
i,b,u,j,l,n,p,*,invalid
h,o,m,i,n,g,*,*,valid
b,r,u,o,l,g,*,*,invalid
x,e,k,d,s,p,*,*,invalid
p,e,p,t,i,c,s,*,valid
q,h,s,*,*,*,*,*,invalid
w,q,p,*,*,*,*,*,invalid
p,o,u,t,s,*,*,*,valid
g,o,i,t,r,e,*,*,valid
s,c,a,b,b,i,n,g,valid
h,s,p,v,w,*,*,*,invalid
a,l,i,e,n,a,t,e,valid
b,r,o,a,d,s,*,*,valid
a,d,m,i,t,s,*,*,valid
h,w,l,d,e,e,*,*,invalid
i,n,a,n,e,l,y,*,valid
e,v,q,q,s,m,n,*,invalid
u,p,u,t,m,*,*,*,invalid
w,o,o,z,y,*,*,*,valid
p,a,r,r,y,*,*,*,valid
g,a,m,e,s,*,*,*,valid
w,n,m,x,x,u,*,*,invalid
o,v,e,r,g,r,o,w,valid
s,h,w,k,r,*,*,*,invalid
l,i,g,h,t,e,d,*,valid
p,r,i,v,a,t,e,r,valid
n,i,a,*,*,*,*,*,invalid
h,k,f,c,e,f,g,*,invalid
l,u,g,*,*,*,*,*,invalid
h,c,n,k,j,k,s,*,invalid
l,s,t,p,a,*,*,*,invalid
b,f,y,*,*,*,*,*,invalid
r,e,d,u,c,i,n,g,valid
n,f,n,t,d,*,*,*,invalid
h,c,h,*,*,*,*,*,invalid
p,j,e,*,*,*,*,*,invalid
f,a,h,k,n,y,*,*,invalid
y,x,s,a,g,i,d,*,invalid
c,p,r,d,l,h,*,*,invalid
p,t,k,e,p,i,*,*,invalid
n,l,h,d,*,*,*,*,invalid
i,h,h,u,d,u,a,*,invalid
x,j,g,i,g,m,*,*,invalid
c,r,a,p,p,i,e,r,valid
p,j,g,g,*,*,*,*,invalid
o,v,e,r,b,i,t,e,valid
e,x,t,o,r,t,*,*,valid
m,c,i,u,s,f,*,*,invalid
j,b,k,*,*,*,*,*,invalid
y,b,v,x,e,d,a,*,invalid
q,k,g,y,*,*,*,*,invalid
r,e,p,u,l,s,e,*,valid
l,o,w,i,n,g,*,*,valid
f,h,d,*,*,*,*,*,invalid
c,w,w,n,x,*,*,*,invalid
i,x,u,e,u,g,m,*,invalid
q,j,a,l,s,y,a,*,invalid
d,n,g,v,u,u,*,*,invalid
o,a,i,*,*,*,*,*,invalid
s,n,f,*,*,*,*,*,invalid
l,u,n,*,*,*,*,*,invalid
s,p,l,*,*,*,*,*,invalid
p,v,c,r,q,t,*,*,invalid
g,x,g,h,m,*,*,*,invalid
m,e,g,*,*,*,*,*,valid
p,a,t,c,h,i,n,g,valid
r,a,i,d,i,n,g,*,valid
b,i,k,i,n,g,*,*,valid
p,h,h,h,x,n,l,*,invalid
p,i,l,l,o,w,*,*,valid
s,u,r,v,i,v,o,r,valid
e,u,c,*,*,*,*,*,invalid
n,t,y,r,o,h,*,*,invalid
t,b,e,j,b,n,*,*,invalid
h,a,l,t,*,*,*,*,valid
e,c,r,*,*,*,*,*,invalid
j,a,x,g,*,*,*,*,invalid
r,a,p,i,s,t,s,*,valid
m,e,s,v,c,l,q,*,invalid
v,n,i,g,*,*,*,*,invalid
a,o,c,e,*,*,*,*,invalid
g,l,x,p,d,c,b,*,invalid
d,u,s,t,e,r,*,*,valid
f,a,r,m,l,a,n,d,valid
m,t,j,*,*,*,*,*,invalid
w,b,o,r,s,d,*,*,invalid
l,y,m,p,h,o,m,a,valid
c,f,b,h,y,*,*,*,invalid
m,i,s,d,e,a,l,s,valid
a,j,x,*,*,*,*,*,invalid
s,h,i,m,m,i,e,s,valid
m,v,w,b,y,a,s,*,invalid
x,v,b,*,*,*,*,*,invalid
e,n,e,r,g,i,z,e,valid
b,d,a,i,*,*,*,*,invalid
b,r,a,n,d,e,d,*,valid
j,y,u,*,*,*,*,*,invalid
y,h,a,v,u,l,f,*,invalid
l,v,v,v,d,t,t,*,invalid
u,r,i,q,x,t,*,*,invalid
s,u,b,s,u,m,e,s,valid
r,u,b,b,e,r,*,*,valid
a,g,a,*,*,*,*,*,invalid
s,c,i,s,s,o,r,*,valid
r,a,n,c,h,*,*,*,valid
n,t,u,*,*,*,*,*,invalid
f,e,u,x,d,q,x,*,invalid
v,y,w,n,y,*,*,*,invalid
l,e,g,a,c,i,e,s,valid
v,e,r,b,e,n,a,s,valid
e,g,o,i,s,t,s,*,valid
u,g,c,*,*,*,*,*,invalid
l,o,b,e,d,*,*,*,valid
c,a,m,p,i,n,g,*,valid
s,x,k,c,h,p,*,*,invalid
u,v,r,*,*,*,*,*,invalid
i,l,v,x,m,w,u,*,invalid
b,l,e,s,s,e,s,*,valid
l,e,a,r,n,s,*,*,valid
g,a,n,t,l,e,t,s,valid
r,a,i,*,*,*,*,*,invalid
s,u,p,p,r,e,s,s,valid
s,o,x,c,e,*,*,*,invalid
p,l,a,n,t,s,*,*,valid
d,y,y,*,*,*,*,*,invalid
g,r,u,b,b,i,n,g,valid
w,n,g,y,*,*,*,*,invalid
l,m,t,q,u,o,*,*,invalid
q,q,t,a,t,*,*,*,invalid
f,p,n,h,h,y,c,*,invalid
l,a,y,m,a,n,*,*,valid
b,b,w,c,f,e,*,*,invalid
y,w,v,i,u,o,s,*,invalid
d,x,o,o,u,*,*,*,invalid
d,h,y,k,h,h,r,*,invalid
s,u,w,a,r,u,*,*,valid
q,q,n,k,v,a,*,*,invalid
f,m,f,j,p,f,s,*,invalid
d,u,f,g,*,*,*,*,invalid
s,p,o,u,s,e,*,*,valid
s,c,h,r,o,d,s,*,valid
h,k,h,b,x,o,*,*,invalid
i,j,m,g,*,*,*,*,invalid
c,a,n,c,e,r,s,*,valid
j,q,y,r,*,*,*,*,invalid
b,s,i,s,*,*,*,*,invalid
h,i,m,s,*,*,*,*,valid
d,v,x,h,j,*,*,*,invalid
e,*,*,*,*,*,*,*,valid
v,k,l,n,w,g,*,*,invalid
o,p,s,*,*,*,*,*,invalid
o,b,j,d,h,u,*,*,invalid
l,q,b,x,g,i,f,*,invalid
l,y,p,j,j,*,*,*,invalid
w,g,s,q,*,*,*,*,invalid
b,y,r,n,h,j,*,*,invalid
d,e,w,c,o,*,*,*,invalid
s,t,a,t,u,s,*,*,valid
f,r,o,l,i,c,s,*,valid
s,b,x,m,e,u,*,*,invalid
t,i,r,e,l,e,s,s,valid
u,f,p,q,y,s,e,*,invalid
k,h,d,r,l,n,u,*,invalid
f,d,u,q,w,a,*,*,invalid
d,i,y,*,*,*,*,*,invalid
p,q,k,l,i,*,*,*,invalid
f,o,n,d,a,n,t,s,valid
j,i,n,n,s,*,*,*,valid
t,j,l,f,i,u,s,*,invalid
t,m,r,p,o,j,*,*,invalid
o,w,l,i,s,h,*,*,valid
g,a,s,*,*,*,*,*,valid
e,g,f,y,r,m,a,*,invalid
l,m,v,y,r,h,c,*,invalid
c,h,i,n,n,e,d,*,valid
l,e,a,t,h,e,r,s,valid
y,o,n,d,e,r,*,*,valid
f,h,k,g,*,*,*,*,invalid
p,c,y,m,n,k,o,*,invalid
b,q,x,*,*,*,*,*,invalid
b,c,t,u,o,*,*,*,invalid
m,a,s,c,o,t,s,*,valid
t,r,a,c,t,s,*,*,valid
s,l,o,v,h,g,j,*,invalid
g,w,w,x,n,b,*,*,invalid
u,w,y,x,i,g,r,*,invalid
m,p,g,i,d,f,*,*,invalid
a,k,d,*,*,*,*,*,invalid
f,j,n,b,x,*,*,*,invalid
t,c,r,*,*,*,*,*,invalid
d,d,l,p,n,r,i,*,invalid
d,a,m,p,e,n,e,d,valid
s,v,v,t,j,g,c,*,invalid
n,o,d,s,*,*,*,*,valid
j,a,v,e,l,i,n,s,valid
a,c,k,j,m,r,n,*,invalid
m,j,k,u,*,*,*,*,invalid
h,h,c,q,*,*,*,*,invalid
h,o,a,*,*,*,*,*,invalid
f,h,x,r,f,*,*,*,invalid
d,t,f,a,p,*,*,*,invalid
j,x,d,o,p,i,m,*,invalid
u,c,n,i,a,f,p,*,invalid
r,u,m,s,*,*,*,*,valid
l,g,d,t,b,j,*,*,invalid
j,f,s,c,n,*,*,*,invalid
k,e,b,a,b,s,*,*,valid
p,l,e,d,*,*,*,*,valid
x,v,y,u,*,*,*,*,invalid
l,m,r,d,t,*,*,*,invalid
m,t,a,f,*,*,*,*,invalid
f,x,j,j,o,a,c,*,invalid
v,i,r,t,u,a,l,*,valid
t,i,n,g,e,*,*,*,valid
p,m,b,q,w,m,*,*,invalid
u,b,a,*,*,*,*,*,invalid
m,c,n,x,*,*,*,*,invalid
l,l,r,l,i,*,*,*,invalid
b,q,v,*,*,*,*,*,invalid
s,t,u,p,o,r,*,*,valid
v,o,u,c,h,*,*,*,valid
y,o,w,*,*,*,*,*,invalid
d,h,r,i,*,*,*,*,invalid
c,h,x,t,w,y,t,*,invalid
x,j,p,e,*,*,*,*,invalid
e,w,e,n,y,y,*,*,invalid
b,a,r,b,e,l,l,*,valid
k,x,d,i,*,*,*,*,invalid
w,h,i,s,k,y,s,*,valid
d,j,e,t,r,l,*,*,invalid
b,n,i,y,v,i,*,*,invalid
h,o,o,p,l,a,*,*,valid
b,f,p,f,a,f,g,*,invalid
i,u,q,f,f,*,*,*,invalid
e,m,r,c,o,j,*,*,invalid
s,e,e,d,*,*,*,*,invalid
l,r,m,m,s,f,d,*,invalid
y,o,u,n,g,*,*,*,valid
m,k,l,b,*,*,*,*,invalid
a,l,x,w,*,*,*,*,invalid
q,j,p,*,*,*,*,*,invalid
e,t,x,o,r,w,e,*,invalid
r,i,p,u,v,*,*,*,invalid
d,l,d,h,o,*,*,*,invalid
c,o,w,*,*,*,*,*,invalid
c,c,u,d,g,s,*,*,invalid
o,p,u,a,s,a,t,*,invalid
a,d,v,e,n,t,*,*,valid
r,o,t,a,t,i,n,g,valid
c,u,b,i,t,*,*,*,valid
b,p,b,p,m,*,*,*,invalid
j,g,g,w,x,s,*,*,invalid
x,b,g,*,*,*,*,*,invalid
c,o,g,*,*,*,*,*,invalid
e,y,y,d,*,*,*,*,invalid
w,p,k,d,*,*,*,*,invalid
e,m,b,*,*,*,*,*,invalid
k,o,a,l,a,*,*,*,valid
d,o,o,m,*,*,*,*,valid
z,i,n,n,i,a,s,*,valid
h,o,j,*,*,*,*,*,invalid
a,u,j,k,g,u,*,*,invalid
b,h,r,*,*,*,*,*,invalid
g,a,t,e,*,*,*,*,valid
x,a,r,d,*,*,*,*,invalid
c,u,r,t,s,i,e,d,valid
d,l,g,c,f,u,*,*,invalid
y,d,g,u,x,*,*,*,invalid
q,t,a,i,o,w,*,*,invalid
i,g,n,o,r,e,s,*,valid
d,i,c,t,a,*,*,*,valid
e,l,a,t,e,d,*,*,valid
b,u,l,l,o,c,k,s,valid
l,g,i,u,p,b,*,*,invalid
p,q,w,w,q,*,*,*,invalid
s,l,a,v,e,r,s,*,valid
e,w,d,*,*,*,*,*,invalid
s,e,a,m,s,*,*,*,valid
r,a,d,i,u,s,e,s,valid
s,e,i,z,i,n,g,*,valid
j,n,m,h,*,*,*,*,invalid
r,f,l,h,k,f,*,*,invalid
y,w,q,c,i,*,*,*,invalid
m,a,s,s,a,g,e,d,valid
c,o,r,r,u,p,t,s,valid
t,a,r,g,e,t,e,d,valid
x,x,c,q,n,*,*,*,invalid
v,t,w,s,a,v,h,*,invalid
d,p,y,a,i,k,*,*,invalid
h,m,d,n,m,u,*,*,invalid
l,t,r,h,e,a,*,*,invalid
n,q,b,n,r,e,y,*,invalid
w,a,a,*,*,*,*,*,invalid
s,u,c,c,e,s,s,*,valid
c,a,p,r,i,c,e,*,valid
r,s,f,j,r,*,*,*,invalid
t,o,d,d,l,e,r,*,valid
p,l,q,x,a,h,a,*,invalid
g,d,m,*,*,*,*,*,invalid
h,f,v,f,y,*,*,*,invalid
k,m,k,a,i,*,*,*,invalid
i,f,w,o,d,m,*,*,invalid
e,m,e,i,*,*,*,*,invalid
f,r,n,y,q,o,*,*,invalid
t,h,x,*,*,*,*,*,invalid
u,b,f,*,*,*,*,*,invalid
f,r,i,e,z,e,*,*,valid
h,x,e,m,p,*,*,*,invalid
h,x,j,n,*,*,*,*,invalid
h,j,f,*,*,*,*,*,invalid
i,n,n,i,n,g,*,*,valid
o,x,v,*,*,*,*,*,invalid
m,u,b,e,a,*,*,*,invalid
s,p,h,x,*,*,*,*,invalid
w,y,y,m,*,*,*,*,invalid
c,l,r,*,*,*,*,*,invalid
w,y,y,t,c,m,b,*,invalid
u,p,h,o,l,d,*,*,valid
b,v,k,j,x,t,r,*,invalid
l,f,t,*,*,*,*,*,invalid
s,p,u,r,t,i,n,g,valid
f,a,i,n,e,s,t,*,valid
w,v,m,*,*,*,*,*,invalid
l,m,y,p,p,v,*,*,invalid
b,e,g,g,i,n,g,*,valid
f,e,n,d,*,*,*,*,valid
h,t,x,g,d,g,j,*,invalid
d,u,c,g,h,r,t,*,invalid
r,g,l,p,l,s,p,*,invalid
j,l,v,y,o,e,l,*,invalid
s,t,u,d,y,*,*,*,valid
n,b,y,*,*,*,*,*,invalid
x,j,g,r,u,*,*,*,invalid
j,e,h,c,*,*,*,*,invalid
l,i,p,s,*,*,*,*,valid
e,g,y,*,*,*,*,*,invalid
i,x,n,l,n,q,*,*,invalid
g,d,b,p,m,b,*,*,invalid
s,f,f,*,*,*,*,*,invalid
p,e,l,v,e,s,*,*,valid
r,w,x,*,*,*,*,*,invalid
r,o,o,k,i,e,s,*,valid
v,n,i,x,*,*,*,*,invalid
m,l,v,*,*,*,*,*,invalid
t,e,g,r,*,*,*,*,invalid
c,i,p,w,o,j,*,*,invalid
f,u,r,o,r,*,*,*,valid
o,p,i,a,t,e,s,*,valid
c,s,j,d,f,m,*,*,invalid
g,d,p,u,w,h,*,*,invalid
w,e,o,*,*,*,*,*,invalid
t,f,x,j,*,*,*,*,invalid
d,o,n,v,*,*,*,*,invalid
q,h,j,j,a,b,e,*,invalid
p,o,h,k,*,*,*,*,invalid
h,o,l,d,i,n,g,s,valid
w,o,o,w,j,a,b,*,invalid
f,r,s,h,t,k,*,*,invalid
q,q,b,*,*,*,*,*,invalid
d,d,w,v,*,*,*,*,invalid
o,h,s,y,n,y,v,*,invalid
f,m,j,c,*,*,*,*,invalid
b,j,t,*,*,*,*,*,invalid
f,o,l,d,e,r,s,*,valid
w,e,x,*,*,*,*,*,invalid
k,p,c,*,*,*,*,*,invalid
f,e,k,c,j,j,h,*,invalid
x,d,x,*,*,*,*,*,invalid
s,n,u,*,*,*,*,*,invalid
t,u,r,k,e,y,s,*,valid
g,u,h,n,*,*,*,*,invalid
m,o,h,s,c,b,r,*,invalid
d,e,n,d,r,i,t,e,valid
b,e,n,k,y,o,u,*,valid
q,e,h,*,*,*,*,*,invalid
y,k,v,*,*,*,*,*,invalid
c,h,c,m,*,*,*,*,invalid
t,r,i,p,p,e,d,*,valid
y,h,d,r,h,h,*,*,invalid
p,p,r,u,c,*,*,*,invalid
w,o,r,k,d,a,y,*,valid
q,m,j,g,g,o,*,*,invalid
y,y,r,*,*,*,*,*,invalid
y,f,o,c,c,c,*,*,invalid
m,i,s,n,o,m,e,r,valid
c,i,j,y,v,x,l,*,invalid
y,e,g,k,p,n,l,*,invalid
m,b,r,*,*,*,*,*,invalid
f,i,x,a,t,e,d,*,valid
q,e,w,v,a,*,*,*,invalid
k,i,l,o,s,*,*,*,valid
x,c,u,p,y,c,t,*,invalid
w,a,l,h,*,*,*,*,invalid
d,o,y,e,n,*,*,*,valid
j,u,m,*,*,*,*,*,invalid
d,o,r,k,i,e,s,t,valid
l,a,k,w,g,*,*,*,invalid
l,e,e,r,i,e,s,t,valid
b,y,s,s,e,*,*,*,invalid
e,r,m,i,n,e,*,*,valid
r,e,e,*,*,*,*,*,invalid
o,m,j,a,x,n,t,*,invalid
r,m,i,y,g,l,m,*,invalid
w,i,l,f,u,l,l,y,valid
m,c,g,a,s,*,*,*,invalid
k,i,n,s,h,i,p,*,valid
c,b,g,j,k,n,*,*,invalid
f,j,m,v,m,i,d,*,invalid
d,f,u,s,*,*,*,*,invalid
t,x,w,m,x,g,*,*,invalid
u,m,j,*,*,*,*,*,invalid
o,u,s,t,*,*,*,*,valid
v,t,n,f,d,v,*,*,invalid
i,c,u,p,w,p,q,*,invalid
q,c,y,*,*,*,*,*,invalid
e,l,g,h,d,*,*,*,invalid
r,y,y,o,*,*,*,*,invalid
v,e,w,j,r,j,*,*,invalid
l,a,c,*,*,*,*,*,invalid
f,y,x,k,b,i,*,*,invalid
s,p,m,r,u,h,k,*,invalid
h,u,t,z,p,a,*,*,valid
t,s,u,n,a,m,i,*,valid
n,o,d,e,*,*,*,*,valid
c,o,r,k,i,n,g,*,valid
q,b,h,*,*,*,*,*,invalid
r,e,s,p,e,l,l,*,valid
f,b,i,*,*,*,*,*,invalid
h,m,x,f,e,*,*,*,invalid
s,a,i,l,o,r,s,*,valid
m,k,k,p,*,*,*,*,invalid
m,a,m,m,a,l,*,*,valid
a,y,m,i,b,*,*,*,invalid
r,a,t,i,n,g,s,*,valid
t,r,e,a,d,i,n,g,valid
w,y,j,a,d,*,*,*,invalid
u,t,b,y,f,*,*,*,invalid
n,i,u,c,p,*,*,*,invalid
b,l,u,f,f,e,s,t,valid
v,v,x,a,e,r,*,*,invalid
i,p,a,r,y,*,*,*,invalid
b,i,n,d,i,n,g,*,valid
e,i,n,q,x,m,d,*,invalid
c,h,i,m,p,s,*,*,valid
c,a,r,e,l,e,s,s,valid
s,t,i,c,k,y,*,*,valid
w,t,l,*,*,*,*,*,invalid
m,i,n,a,t,o,r,y,valid
