char01,char02,char03,char04,char05,char06,char07,char08,prediction
n,c,m,k,r,*,*,*,invalid
q,n,r,m,y,m,*,*,invalid
e,i,l,j,j,c,*,*,invalid
w,k,x,q,h,x,s,*,invalid
v,b,r,n,l,w,*,*,invalid
s,k,i,m,p,*,*,*,valid
y,l,h,j,*,*,*,*,invalid
s,e,t,w,c,*,*,*,invalid
g,b,a,*,*,*,*,*,invalid
w,a,g,g,l,e,d,*,valid
s,h,i,e,s,*,*,*,valid
b,e,h,a,v,e,s,*,valid
v,a,k,*,*,*,*,*,invalid
d,m,m,t,g,*,*,*,invalid
m,g,r,w,b,*,*,*,invalid
s,p,a,t,i,a,l,*,valid
f,d,m,d,*,*,*,*,invalid
k,h,h,v,j,*,*,*,invalid
f,x,r,c,l,*,*,*,invalid
c,b,t,k,s,*,*,*,invalid
j,o,t,l,*,*,*,*,invalid
h,o,o,t,s,*,*,*,valid
p,n,u,*,*,*,*,*,invalid
p,y,p,r,i,i,l,*,invalid
b,r,i,v,o,r,*,*,invalid
y,u,o,*,*,*,*,*,invalid
q,p,y,a,b,j,b,*,invalid
c,u,t,e,s,i,e,r,valid
r,o,s,y,*,*,*,*,valid
c,l,b,g,i,q,*,*,invalid
b,o,g,e,y,i,n,g,valid
c,j,g,h,n,*,*,*,invalid
r,o,o,k,e,r,y,*,valid
x,d,q,q,y,c,v,*,invalid
a,k,y,w,*,*,*,*,invalid
f,r,e,n,z,i,e,d,valid
c,a,r,o,u,s,e,*,valid
v,s,t,e,f,o,y,*,invalid
h,a,n,d,l,i,n,g,valid
x,w,b,p,f,*,*,*,invalid
q,u,x,i,*,*,*,*,invalid
u,h,k,p,t,*,*,*,invalid
b,a,r,e,s,*,*,*,valid
d,r,a,g,o,n,*,*,valid
o,p,i,*,*,*,*,*,invalid
r,e,p,r,i,n,t,*,valid
c,g,j,*,*,*,*,*,invalid
q,u,a,r,k,s,*,*,valid
m,u,c,k,i,e,r,*,valid
o,w,k,*,*,*,*,*,invalid
s,a,g,e,s,t,*,*,valid
a,h,u,i,n,*,*,*,invalid
w,y,e,*,*,*,*,*,invalid
b,l,i,g,h,t,s,*,valid
s,m,e,a,r,*,*,*,valid
h,a,r,l,o,t,s,*,valid
m,j,t,*,*,*,*,*,invalid
g,g,n,x,b,h,*,*,invalid
h,y,j,*,*,*,*,*,invalid
o,u,m,k,*,*,*,*,invalid
b,a,n,n,s,w,*,*,invalid
y,g,j,*,*,*,*,*,invalid
e,h,r,*,*,*,*,*,invalid
b,d,m,n,u,*,*,*,invalid
s,c,o,u,r,s,*,*,valid
j,y,s,n,u,y,y,*,invalid
f,a,c,t,i,o,n,*,valid
s,k,c,b,s,i,n,*,invalid
v,t,e,k,l,*,*,*,invalid
a,t,l,*,*,*,*,*,invalid
p,r,o,u,d,e,s,t,valid
p,r,e,y,*,*,*,*,valid
x,j,q,v,t,*,*,*,invalid
o,m,e,l,e,t,*,*,valid
f,i,d,d,l,i,n,g,valid
s,t,a,k,i,n,g,*,valid
s,l,y,r,s,*,*,*,invalid
k,y,j,*,*,*,*,*,invalid
e,u,c,*,*,*,*,*,invalid
s,o,w,m,*,*,*,*,invalid
l,x,g,h,r,*,*,*,invalid
s,t,o,*,*,*,*,*,invalid
b,a,r,r,e,l,s,*,valid
b,e,g,i,n,*,*,*,valid
m,i,t,e,r,i,n,g,valid
m,a,r,i,n,a,t,e,valid
q,p,g,y,*,*,*,*,invalid
h,c,u,*,*,*,*,*,invalid
h,a,r,p,i,s,t,*,valid
q,a,x,*,*,*,*,*,invalid
v,y,f,*,*,*,*,*,invalid
n,u,z,z,l,i,n,g,valid
e,x,r,p,*,*,*,*,invalid
r,o,e,s,*,*,*,*,invalid
d,u,n,k,i,n,g,*,valid
f,r,v,h,q,*,*,*,invalid
r,p,l,g,l,*,*,*,invalid
s,h,u,t,t,l,e,s,valid
h,o,c,s,u,*,*,*,invalid
c,u,s,t,o,m,s,*,valid
c,s,l,e,s,f,b,*,invalid
q,m,l,x,a,r,l,*,invalid
b,e,a,t,n,i,k,*,valid
g,a,k,n,f,a,c,*,invalid
y,m,w,i,l,k,*,*,invalid
p,l,d,r,d,q,m,*,invalid
r,n,e,f,w,o,n,*,invalid
s,x,p,a,v,n,*,*,invalid
d,t,o,a,j,*,*,*,invalid
s,n,n,r,f,e,*,*,invalid
j,h,a,w,w,p,y,*,invalid
s,t,j,o,*,*,*,*,invalid
n,e,a,t,e,r,*,*,valid
v,y,v,s,*,*,*,*,invalid
r,h,k,e,c,i,*,*,invalid
p,o,t,t,e,r,s,*,valid
c,x,j,a,f,l,*,*,invalid
y,w,h,l,b,*,*,*,invalid
c,q,i,r,p,o,j,*,invalid
v,c,p,*,*,*,*,*,invalid
g,a,n,g,i,n,g,*,valid
f,l,u,s,h,e,s,t,valid
s,q,e,*,*,*,*,*,invalid
f,k,f,m,f,t,*,*,invalid
b,g,s,i,l,*,*,*,invalid
i,n,c,e,s,t,*,*,valid
r,x,d,l,*,*,*,*,invalid
a,m,o,k,*,*,*,*,valid
e,e,e,v,q,y,r,*,invalid
s,u,l,t,a,n,a,*,valid
i,r,k,s,*,*,*,*,invalid
l,w,b,p,e,j,u,*,invalid
j,a,g,g,e,d,e,r,valid
b,a,c,i,l,l,i,*,valid
k,t,a,*,*,*,*,*,invalid
b,a,n,k,*,*,*,*,invalid
c,a,j,y,p,*,*,*,invalid
p,u,m,y,x,n,l,*,invalid
t,e,a,z,l,e,*,*,valid
v,u,k,*,*,*,*,*,invalid
k,p,l,l,w,l,w,*,invalid
q,m,x,q,l,w,h,*,invalid
c,a,r,m,i,n,e,s,valid
p,e,l,t,i,n,g,*,valid
b,r,p,x,*,*,*,*,invalid
c,f,n,*,*,*,*,*,invalid
d,o,w,s,e,*,*,*,valid
t,e,e,t,h,e,d,*,valid
c,o,i,n,a,g,e,s,valid
v,m,d,a,x,v,*,*,invalid
d,r,q,*,*,*,*,*,invalid
l,g,x,x,r,q,*,*,invalid
f,i,l,l,i,p,*,*,valid
d,u,c,t,s,*,*,*,valid
w,e,n,n,x,*,*,*,invalid
c,a,r,q,b,o,*,*,invalid
d,p,f,f,p,n,s,*,invalid
f,g,w,k,*,*,*,*,invalid
v,d,g,c,n,*,*,*,invalid
c,l,a,j,*,*,*,*,invalid
p,n,j,k,b,*,*,*,invalid
i,d,o,l,s,*,*,*,valid
t,y,p,h,o,o,n,*,valid
b,k,x,q,k,u,*,*,invalid
w,h,y,g,*,*,*,*,invalid
u,h,f,g,v,y,*,*,invalid
s,t,a,r,t,u,p,*,valid
u,s,c,x,g,*,*,*,invalid
j,o,s,h,e,s,*,*,valid
r,e,a,c,t,*,*,*,valid
t,r,u,*,*,*,*,*,invalid
p,t,q,*,*,*,*,*,invalid
r,e,r,e,a,d,*,*,valid
s,t,a,r,v,e,s,*,valid
x,j,s,x,q,h,j,*,invalid
f,a,t,h,e,a,d,s,valid
w,m,s,e,p,u,*,*,invalid
u,a,i,*,*,*,*,*,invalid
l,o,w,i,s,h,*,*,valid
b,o,w,s,*,*,*,*,valid
d,e,c,r,i,e,s,*,valid
p,r,o,v,e,r,b,s,valid
u,e,h,y,l,y,y,*,invalid
l,a,y,o,u,t,s,*,valid
m,e,o,y,b,*,*,*,invalid
c,m,a,k,*,*,*,*,invalid
f,n,y,f,p,f,a,*,invalid
h,u,y,*,*,*,*,*,invalid
t,i,n,k,l,i,n,g,valid
j,a,g,u,g,*,*,*,invalid
s,e,m,i,s,*,*,*,valid
g,a,u,z,y,*,*,*,valid
x,u,n,*,*,*,*,*,invalid
a,r,c,t,i,c,*,*,valid
m,h,f,s,u,t,a,*,invalid
v,f,u,y,x,*,*,*,invalid
u,i,i,g,f,h,*,*,invalid
a,g,r,j,g,p,q,*,invalid
w,m,h,*,*,*,*,*,invalid
s,t,p,x,f,*,*,*,invalid
g,l,e,a,m,s,*,*,valid
b,l,i,g,h,t,*,*,valid
u,j,o,*,*,*,*,*,invalid
s,c,h,l,e,p,s,*,valid
j,j,g,m,d,s,a,*,invalid
w,a,l,e,s,*,*,*,valid
u,p,s,u,r,g,e,*,valid
h,n,j,*,*,*,*,*,invalid
c,o,m,p,i,l,e,*,valid
n,i,a,*,*,*,*,*,invalid
x,e,i,d,s,m,f,*,invalid
x,d,l,o,j,j,*,*,invalid
c,a,n,e,s,*,*,*,valid
d,e,v,i,a,t,e,s,valid
c,j,x,q,*,*,*,*,invalid
i,n,k,l,i,n,g,*,valid
g,g,h,c,u,*,*,*,invalid
w,w,b,u,i,k,*,*,invalid
j,j,m,t,h,g,*,*,invalid
m,i,c,r,o,n,s,*,valid
a,y,d,k,l,u,j,*,invalid
t,g,k,q,k,*,*,*,invalid
a,a,b,g,u,*,*,*,invalid
n,s,k,a,y,q,c,*,invalid
p,s,c,w,g,r,*,*,invalid
e,p,b,u,q,*,*,*,invalid
m,u,s,h,y,*,*,*,valid
e,l,u,d,e,d,*,*,valid
k,q,n,r,l,h,f,*,invalid
j,o,l,l,i,e,r,*,valid
b,a,p,c,*,*,*,*,invalid
l,x,u,e,g,t,w,*,invalid
s,q,q,y,h,k,*,*,invalid
t,c,y,l,v,l,*,*,invalid
o,v,e,r,h,e,a,r,valid
o,j,w,*,*,*,*,*,invalid
u,b,u,*,*,*,*,*,invalid
o,e,p,g,j,*,*,*,invalid
f,r,u,l,*,*,*,*,invalid
m,q,b,m,e,*,*,*,invalid
f,a,b,u,l,o,u,s,valid
f,y,a,*,*,*,*,*,invalid
l,u,l,*,*,*,*,*,invalid
j,j,c,v,*,*,*,*,invalid
s,t,i,l,t,s,*,*,valid
f,l,g,s,f,*,*,*,invalid
l,u,l,e,*,*,*,*,invalid
d,c,w,m,f,*,*,*,invalid
e,k,i,j,*,*,*,*,invalid
e,m,o,h,i,p,*,*,invalid
y,i,o,b,x,e,*,*,invalid
r,o,k,p,b,h,e,*,invalid
d,e,m,e,a,n,e,d,valid
h,b,r,u,h,*,*,*,invalid
o,l,d,e,n,*,*,*,valid
x,u,i,j,v,*,*,*,invalid
j,c,t,n,r,*,*,*,invalid
s,t,i,n,k,i,n,g,valid
m,h,b,x,o,*,*,*,invalid
w,h,e,r,e,i,n,*,valid
s,c,t,f,c,h,*,*,invalid
c,l,o,t,h,s,*,*,valid
b,o,n,n,i,e,*,*,valid
y,t,w,j,f,o,b,*,invalid
y,e,m,*,*,*,*,*,invalid
h,u,j,l,j,p,i,*,invalid
r,e,v,i,v,i,n,g,valid
p,r,o,t,e,s,t,s,valid
x,j,a,d,*,*,*,*,invalid
w,c,v,b,e,y,n,*,invalid
g,l,i,t,c,h,*,*,valid
e,n,a,b,l,i,n,g,valid
r,o,p,m,y,*,*,*,invalid
e,m,o,p,*,*,*,*,invalid
g,m,j,u,*,*,*,*,invalid
d,i,s,k,e,t,t,e,valid
p,j,o,*,*,*,*,*,invalid
t,r,u,f,f,l,e,s,valid
j,u,n,k,i,e,s,t,valid
r,h,g,g,g,*,*,*,invalid
c,a,r,e,s,s,*,*,valid
f,o,r,a,*,*,*,*,valid
d,e,p,r,a,v,e,s,valid
l,e,c,b,d,w,p,*,invalid
s,f,a,b,n,b,*,*,invalid
t,r,c,i,l,a,g,*,invalid
t,m,y,g,*,*,*,*,invalid
q,g,r,*,*,*,*,*,invalid
j,q,s,*,*,*,*,*,invalid
h,p,o,u,p,l,*,*,invalid
u,q,e,t,s,*,*,*,invalid
v,y,m,s,m,*,*,*,invalid
b,l,u,s,h,e,d,*,valid
c,t,p,m,*,*,*,*,invalid
p,u,r,p,o,s,e,s,valid
t,x,u,v,t,q,*,*,invalid
v,s,l,f,*,*,*,*,invalid
q,f,g,*,*,*,*,*,invalid
t,i,m,m,h,*,*,*,invalid
n,u,f,y,x,*,*,*,invalid
i,o,l,o,*,*,*,*,invalid
p,w,e,*,*,*,*,*,invalid
v,b,c,u,f,*,*,*,invalid
i,n,c,o,m,e,s,*,valid
p,i,l,l,o,r,y,*,valid
n,h,v,e,*,*,*,*,invalid
e,n,r,o,l,l,*,*,valid
w,e,a,*,*,*,*,*,invalid
f,e,l,i,n,e,*,*,valid
a,i,w,t,u,*,*,*,invalid
c,c,g,b,r,i,*,*,invalid
g,c,n,d,g,v,*,*,invalid
g,k,o,s,p,a,*,*,invalid
u,v,u,l,a,e,*,*,valid
f,t,t,l,*,*,*,*,invalid
a,a,u,f,*,*,*,*,invalid
g,r,a,i,l,*,*,*,valid
v,p,j,b,l,d,*,*,invalid
n,y,j,o,q,*,*,*,invalid
f,c,k,*,*,*,*,*,invalid
w,r,u,n,g,*,*,*,valid
e,v,i,l,l,e,s,t,valid
w,x,e,p,w,m,*,*,invalid
a,c,u,t,e,*,*,*,valid
q,h,n,b,s,h,*,*,invalid
r,l,g,*,*,*,*,*,invalid
h,a,l,b,e,r,d,*,valid
t,r,o,o,p,e,r,s,valid
f,g,t,e,*,*,*,*,invalid
r,f,x,*,*,*,*,*,invalid
i,c,n,d,*,*,*,*,invalid
d,u,b,s,*,*,*,*,valid
l,i,m,p,h,w,*,*,invalid
q,f,j,*,*,*,*,*,invalid
i,n,m,v,*,*,*,*,invalid
q,t,e,c,j,f,k,*,invalid
b,b,h,n,p,*,*,*,invalid
w,i,p,e,*,*,*,*,valid
s,h,o,n,e,*,*,*,valid
g,l,u,m,m,e,r,*,valid
o,t,p,*,*,*,*,*,invalid
b,u,y,*,*,*,*,*,valid
q,q,h,a,q,*,*,*,invalid
k,i,t,t,y,*,*,*,valid
f,l,a,t,s,*,*,*,valid
u,p,i,w,b,e,p,*,invalid
w,r,h,d,f,n,g,*,invalid
u,p,p,b,*,*,*,*,invalid
w,i,n,d,p,i,p,e,valid
c,o,g,n,a,c,*,*,valid
p,n,f,b,x,i,*,*,invalid
n,u,b,i,l,e,*,*,valid
d,q,o,f,t,m,u,*,invalid
c,r,o,o,n,*,*,*,valid
x,o,l,x,w,e,j,*,invalid
n,a,p,p,i,n,g,*,valid
e,h,w,j,x,*,*,*,invalid
n,b,l,r,f,d,*,*,invalid
v,c,k,q,c,s,*,*,invalid
m,o,r,t,i,s,e,s,valid
a,m,b,i,e,n,t,*,valid
h,a,l,i,b,u,t,*,valid
a,r,i,a,*,*,*,*,valid
a,d,v,e,r,t,s,*,valid
m,b,t,h,*,*,*,*,invalid
m,a,i,n,*,*,*,*,valid
r,e,c,e,s,s,e,d,valid
r,l,f,v,s,*,*,*,invalid
l,d,t,p,a,m,k,*,invalid
m,i,m,e,s,*,*,*,valid
w,r,a,p,*,*,*,*,valid
u,t,r,a,a,w,*,*,invalid
o,v,p,*,*,*,*,*,invalid
b,o,o,b,y,*,*,*,valid
s,t,o,p,g,a,p,s,valid
o,n,x,w,f,k,d,*,invalid
t,i,f,f,s,*,*,*,valid
d,n,l,i,*,*,*,*,invalid
s,b,l,p,*,*,*,*,invalid
y,d,u,y,a,*,*,*,invalid
h,m,a,*,*,*,*,*,invalid
r,u,a,t,g,y,j,*,invalid
d,u,s,t,l,e,s,s,valid
o,a,u,r,*,*,*,*,invalid
e,j,q,t,*,*,*,*,invalid
f,l,i,c,k,e,d,*,valid
e,p,w,v,h,*,*,*,invalid
t,e,x,t,u,r,e,s,valid
p,w,q,e,b,t,s,*,invalid
u,c,k,*,*,*,*,*,invalid
s,i,n,k,h,o,l,e,valid
i,c,o,l,d,u,h,*,invalid
r,w,t,n,p,*,*,*,invalid
n,b,a,u,m,g,*,*,invalid
t,i,p,p,l,e,*,*,valid
d,e,v,i,s,i,n,g,valid
e,j,f,*,*,*,*,*,invalid
r,e,s,p,o,n,d,*,valid
s,q,i,q,r,b,*,*,invalid
e,r,x,*,*,*,*,*,invalid
t,t,x,y,g,*,*,*,invalid
i,n,t,e,r,*,*,*,valid
m,y,r,i,a,j,*,*,invalid
q,y,s,*,*,*,*,*,invalid
p,o,l,i,t,e,*,*,valid
f,j,j,*,*,*,*,*,invalid
m,a,s,h,e,r,s,*,valid
b,i,g,g,e,r,*,*,valid
e,n,d,o,w,e,d,*,valid
c,o,t,t,e,r,*,*,valid
j,s,q,l,r,v,*,*,invalid
s,p,e,m,b,*,*,*,invalid
s,u,i,t,e,*,*,*,valid
d,s,a,b,*,*,*,*,invalid
m,t,h,k,e,*,*,*,invalid
g,a,u,z,e,*,*,*,valid
p,e,r,j,u,r,y,*,valid
d,k,r,n,m,s,h,*,invalid
h,t,b,r,x,b,u,*,invalid
s,u,e,h,*,*,*,*,invalid
h,e,e,c,j,w,a,*,invalid
p,l,a,y,a,c,t,*,valid
b,e,f,i,t,t,e,d,valid
q,m,t,m,o,*,*,*,invalid
f,n,c,h,h,*,*,*,invalid
s,r,y,y,n,g,*,*,invalid
w,y,o,a,g,y,*,*,invalid
l,i,k,e,n,e,s,s,valid
d,i,v,i,d,e,r,*,valid
c,r,c,i,*,*,*,*,invalid
l,j,e,u,*,*,*,*,invalid
k,o,r,e,*,*,*,*,valid
w,p,x,h,r,o,r,*,invalid
r,s,i,p,q,p,*,*,invalid
r,x,o,*,*,*,*,*,invalid
s,a,n,d,y,*,*,*,valid
l,o,b,b,i,e,d,*,valid
h,g,d,u,d,e,b,*,invalid
r,e,m,y,x,m,l,*,invalid
s,p,o,u,t,i,n,g,valid
p,o,r,t,e,n,t,*,valid
w,o,r,r,i,e,d,*,valid
o,j,t,*,*,*,*,*,invalid
s,n,o,w,f,a,l,l,valid
i,s,i,a,q,w,*,*,invalid
j,s,g,g,h,*,*,*,invalid
m,i,s,c,a,l,l,s,valid
x,i,b,*,*,*,*,*,invalid
w,r,u,s,e,s,p,*,invalid
s,c,h,l,e,p,*,*,valid
u,v,s,t,x,*,*,*,invalid
r,e,w,i,r,i,n,g,valid
q,w,s,e,a,s,b,*,invalid
n,u,n,l,*,*,*,*,invalid
i,y,l,b,u,k,*,*,invalid
t,e,s,t,i,s,*,*,valid
b,u,g,l,e,d,*,*,valid
o,b,j,h,f,*,*,*,invalid
i,y,p,h,r,b,*,*,invalid
y,y,i,*,*,*,*,*,invalid
h,v,d,j,*,*,*,*,invalid
i,n,a,n,e,s,t,*,valid
c,s,d,w,i,*,*,*,invalid
n,o,w,h,e,r,e,*,valid
t,o,m,s,*,*,*,*,valid
c,f,g,q,d,*,*,*,invalid
k,c,q,i,x,q,*,*,invalid
h,s,c,s,*,*,*,*,invalid
a,c,m,e,*,*,*,*,valid
a,h,s,*,*,*,*,*,invalid
c,l,a,s,p,s,*,*,valid
t,j,k,b,c,*,*,*,invalid
v,a,j,o,n,b,*,*,invalid
c,o,d,*,*,*,*,*,invalid
y,d,l,k,e,g,a,*,invalid
k,n,e,e,c,a,p,*,valid
p,a,n,n,e,d,*,*,valid
i,h,n,q,q,a,d,*,invalid
q,q,l,h,p,*,*,*,invalid
k,f,x,k,*,*,*,*,invalid
t,u,s,k,s,*,*,*,valid
f,e,i,*,*,*,*,*,invalid
r,y,l,j,u,j,*,*,invalid
f,v,a,q,p,q,*,*,invalid
t,w,i,r,l,*,*,*,valid
f,i,t,y,*,*,*,*,invalid
b,e,l,a,b,o,r,*,valid
s,y,d,o,i,v,f,*,invalid
h,r,x,r,*,*,*,*,invalid
h,o,o,d,i,e,s,*,valid
w,n,m,*,*,*,*,*,invalid
d,h,g,*,*,*,*,*,invalid
n,r,x,*,*,*,*,*,invalid
i,d,a,k,q,*,*,*,invalid
p,a,m,l,*,*,*,*,invalid
s,e,r,v,i,n,g,*,valid
p,a,r,a,l,l,a,x,valid
r,d,j,n,b,a,r,*,invalid
e,g,s,*,*,*,*,*,invalid
n,s,y,m,v,f,*,*,invalid
q,r,y,*,*,*,*,*,invalid
c,e,i,b,o,q,*,*,invalid
h,i,i,*,*,*,*,*,invalid
w,e,d,g,e,*,*,*,valid
i,e,e,q,p,j,a,*,invalid
e,d,e,k,k,w,l,*,invalid
f,l,i,p,p,e,r,s,valid
u,m,j,x,k,q,*,*,invalid
j,l,g,f,q,*,*,*,invalid
p,u,k,i,n,g,*,*,valid
x,h,m,h,k,n,g,*,invalid
f,e,z,e,s,*,*,*,valid
k,o,t,w,v,*,*,*,invalid
d,i,n,n,e,d,*,*,valid
i,q,j,c,r,t,*,*,invalid
p,v,r,e,p,l,*,*,invalid
w,i,n,e,r,i,e,s,valid
d,k,g,*,*,*,*,*,invalid
q,x,s,a,c,h,s,*,invalid
v,s,t,k,a,j,r,*,invalid
f,c,n,d,f,i,u,*,invalid
h,b,a,x,*,*,*,*,invalid
s,t,e,r,n,*,*,*,valid
m,u,s,h,*,*,*,*,valid
e,q,r,x,*,*,*,*,invalid
u,y,o,a,i,*,*,*,invalid
b,u,c,k,l,e,r,*,valid
g,o,a,t,s,*,*,*,valid
p,r,e,y,e,d,*,*,valid
g,g,c,y,t,b,*,*,invalid
a,n,d,i,r,o,n,*,valid
h,r,h,j,y,f,d,*,invalid
v,i,b,r,a,t,o,r,valid
f,s,c,*,*,*,*,*,invalid
i,s,s,u,a,n,c,e,valid
c,r,a,g,s,*,*,*,valid
p,c,b,s,o,*,*,*,invalid
v,e,n,u,e,s,*,*,valid
b,i,y,x,h,m,*,*,invalid
b,l,u,s,h,e,r,*,valid
c,c,s,m,u,*,*,*,invalid
n,i,c,k,e,d,*,*,valid
b,t,e,*,*,*,*,*,invalid
c,o,y,i,g,b,r,*,invalid
c,o,c,c,i,*,*,*,valid
p,e,r,m,*,*,*,*,valid
l,b,s,a,v,n,v,*,invalid
l,e,f,w,f,b,a,*,invalid
i,p,t,*,*,*,*,*,invalid
m,n,w,b,q,*,*,*,invalid
b,u,s,t,e,d,*,*,valid
q,h,t,o,u,o,*,*,invalid
s,w,i,n,d,l,e,r,valid
t,h,h,p,e,*,*,*,invalid
a,e,k,p,s,o,m,*,invalid
r,j,k,n,k,s,*,*,invalid
n,x,h,b,r,*,*,*,invalid
c,a,r,t,i,n,g,*,valid
t,v,f,v,j,u,*,*,invalid
o,c,r,*,*,*,*,*,invalid
c,r,u,d,e,s,t,*,valid
t,x,n,p,q,*,*,*,invalid
b,c,k,j,v,*,*,*,invalid
k,k,k,f,f,*,*,*,invalid
q,s,k,*,*,*,*,*,invalid
p,l,a,q,u,e,*,*,valid
a,a,l,m,*,*,*,*,invalid
o,x,f,o,r,d,*,*,valid
p,a,r,s,o,n,s,*,valid
w,x,x,s,*,*,*,*,invalid
c,o,p,i,n,g,*,*,valid
y,o,p,g,j,*,*,*,invalid
q,q,j,*,*,*,*,*,invalid
d,i,g,i,t,a,l,*,valid
l,j,j,j,a,*,*,*,invalid
y,v,s,j,q,*,*,*,invalid
j,u,l,n,*,*,*,*,invalid
c,h,o,k,e,d,*,*,valid
h,i,t,s,*,*,*,*,invalid
s,p,o,o,r,s,*,*,valid
c,l,i,n,g,s,*,*,valid
b,w,f,p,j,*,*,*,invalid
l,i,f,h,*,*,*,*,invalid
b,d,x,*,*,*,*,*,invalid
i,m,p,e,n,d,*,*,valid
c,r,y,i,n,g,*,*,valid
m,n,k,v,g,u,*,*,invalid
a,m,h,j,a,f,x,*,invalid
v,y,r,i,v,*,*,*,invalid
e,e,b,d,u,g,k,*,invalid
t,i,n,t,s,*,*,*,valid
n,t,u,*,*,*,*,*,invalid
y,m,j,j,w,*,*,*,invalid
b,a,t,c,h,e,s,*,valid
l,i,a,i,s,e,*,*,valid
r,o,u,n,d,u,p,s,valid
x,b,x,d,k,t,h,*,invalid
h,c,j,b,s,*,*,*,invalid
s,o,n,g,b,i,r,d,valid
f,i,r,e,m,e,n,*,valid
g,q,l,*,*,*,*,*,invalid
e,j,e,c,t,*,*,*,valid
m,i,n,u,t,e,d,*,valid
w,a,d,*,*,*,*,*,valid
w,e,a,k,*,*,*,*,invalid
v,b,r,a,b,h,*,*,invalid
n,e,w,b,i,e,*,*,valid
w,h,p,y,l,o,y,*,invalid
g,e,i,s,h,a,s,*,valid
w,s,c,*,*,*,*,*,invalid
g,s,p,*,*,*,*,*,invalid
s,o,v,v,b,i,*,*,invalid
c,g,v,q,*,*,*,*,invalid
w,o,r,m,i,e,r,*,valid
c,k,t,a,m,*,*,*,invalid
g,q,o,m,*,*,*,*,invalid
w,i,n,g,l,e,s,s,valid
v,i,a,d,u,c,t,s,valid
i,n,o,r,v,p,*,*,invalid
j,m,w,o,j,*,*,*,invalid
i,r,t,w,x,*,*,*,invalid
i,k,j,b,i,*,*,*,invalid
n,b,c,k,r,p,v,*,invalid
h,q,a,i,m,o,*,*,invalid
e,o,g,d,*,*,*,*,invalid
t,i,n,n,y,*,*,*,valid
n,i,k,u,u,*,*,*,invalid
m,x,a,o,i,n,*,*,invalid
t,p,u,v,y,h,*,*,invalid
a,x,y,c,i,h,*,*,invalid
v,f,f,h,p,i,i,*,invalid
u,n,q,u,o,t,e,*,valid
e,a,g,e,r,e,s,t,valid
t,o,i,l,e,t,r,y,valid
v,d,x,r,d,p,q,*,invalid
l,e,v,i,t,y,*,*,valid
w,u,u,l,d,w,p,*,invalid
e,o,i,k,*,*,*,*,invalid
i,d,s,i,u,*,*,*,invalid
d,u,e,f,q,c,*,*,invalid
m,o,s,s,y,*,*,*,valid
i,m,p,l,a,n,t,s,valid
j,u,v,f,e,*,*,*,invalid
c,f,s,m,e,f,g,*,invalid
o,t,c,u,s,a,*,*,invalid
p,l,i,a,n,t,*,*,valid
b,c,y,*,*,*,*,*,invalid
b,t,n,p,k,v,*,*,invalid
l,y,o,x,e,*,*,*,invalid
i,m,o,j,*,*,*,*,invalid
r,q,r,t,o,b,*,*,invalid
d,m,w,v,*,*,*,*,invalid
b,y,l,n,l,f,*,*,invalid
o,f,f,e,r,e,d,*,valid
w,r,d,b,*,*,*,*,invalid
c,a,r,d,*,*,*,*,valid
w,x,k,e,i,d,*,*,invalid
t,e,a,t,*,*,*,*,invalid
e,c,f,o,f,*,*,*,invalid
j,m,f,p,*,*,*,*,invalid
a,p,c,o,y,*,*,*,invalid
g,k,u,k,*,*,*,*,invalid
k,r,w,p,*,*,*,*,invalid
r,e,f,l,e,c,t,*,valid
i,s,r,k,t,w,*,*,invalid
v,w,v,f,b,l,*,*,invalid
c,c,j,m,e,h,w,*,invalid
u,o,s,a,b,p,k,*,invalid
y,q,b,w,*,*,*,*,invalid
n,d,v,v,g,*,*,*,invalid
b,a,n,d,i,t,*,*,valid
g,r,a,s,s,i,n,g,valid
c,o,i,l,i,n,g,*,valid
c,u,c,k,o,l,d,*,valid
p,m,y,t,*,*,*,*,invalid
p,o,s,t,i,n,g,*,valid
f,a,y,*,*,*,*,*,invalid
b,c,u,h,h,x,*,*,invalid
s,f,j,k,p,r,s,*,invalid
t,u,n,s,*,*,*,*,valid
w,r,e,c,k,*,*,*,valid
c,o,p,p,e,r,y,*,valid
i,u,g,*,*,*,*,*,invalid
s,l,u,m,l,o,r,d,valid
k,b,u,d,v,*,*,*,invalid
p,a,t,i,n,a,e,*,valid
c,p,h,t,p,l,*,*,invalid
u,a,p,*,*,*,*,*,invalid
v,l,e,*,*,*,*,*,invalid
u,m,i,a,k,s,*,*,valid
o,w,b,a,h,y,k,*,invalid
u,w,j,u,p,*,*,*,invalid
v,i,d,e,o,s,*,*,valid
l,m,e,l,m,k,*,*,invalid
p,r,e,t,e,r,i,t,valid
s,i,n,e,w,s,*,*,valid
t,e,s,t,*,*,*,*,valid
e,c,o,s,*,*,*,*,invalid
r,u,q,r,e,e,i,*,invalid
s,x,r,*,*,*,*,*,invalid
e,n,l,a,r,g,e,*,valid
t,b,y,i,i,*,*,*,invalid
r,a,i,n,c,o,a,t,valid
h,b,j,v,t,*,*,*,invalid
c,o,e,v,a,l,*,*,valid
c,o,n,g,e,a,l,*,valid
h,a,l,l,o,w,*,*,valid
s,s,k,j,*,*,*,*,invalid
w,o,r,k,s,*,*,*,valid
b,u,q,s,c,c,*,*,invalid
g,r,a,y,n,e,s,s,valid
m,i,b,f,m,u,*,*,invalid
